Kernel_ID,Usage_Count,Activity_Sum,Status
1,110565,91314.90467854997,Active
2,54258,11218.187405111039,Active
3,99762,21679.239565731154,Active
4,42543,7778.71818794204,Active
5,38658,8512.42099335656,Active
6,97126,85532.48506087271,Active
7,27720,6194.69165940656,Active
8,136363,51325.796594576736,Active
9,101398,22591.10047501799,Active
10,24462,4763.906784501938,Active
11,40469,7604.030439706766,Active
12,27317,5697.145519585207,Active
13,143319,48581.79872044515,Active
14,84273,53543.70584414832,Active
15,45522,9397.465137507197,Active
16,130997,25509.83461495696,Active
17,149560,70380.3384244985,Active
18,72972,13729.065114328878,Active
19,32474,6494.559068843904,Active
20,55716,10229.95526569867,Active
21,21335,4272.859143719304,Active
22,60760,13431.059172615318,Active
23,116126,56135.09871931197,Active
24,153891,46916.63923596224,Active
25,146540,33665.07878508874,Active
26,153352,45931.60567862496,Active
27,141082,36998.528488138116,Active
28,88229,65904.56410419707,Active
29,147864,39708.21079767173,Active
30,215621,59785.44940970446,Active
31,29654,5716.781616420831,Active
32,72496,13995.74672884913,Active
33,25903,5565.693255683702,Active
34,130428,22712.771591304467,Active
35,122661,36394.15315089626,Active
36,26179,4939.29858074938,Active
37,202458,53035.760867281744,Active
38,120501,29278.758326256626,Active
39,110884,69466.08393078097,Active
40,86970,17818.74153660613,Active
41,151422,47393.831958977855,Active
42,29843,5411.612419024538,Active
43,133534,35302.42356311619,Active
44,54739,11206.43818593862,Active
45,150959,79464.7215096626,Active
46,118895,34124.73729343883,Active
47,145076,93036.11478464177,Active
48,150080,52036.909448931256,Active
49,121914,68825.80638109555,Active
50,27901,5943.929078425285,Active
51,115653,76560.44489498873,Active
52,125292,17891.421457581804,Active
53,120509,51629.21781457958,Active
54,76020,53931.437257764344,Active
55,36596,6707.57315981832,Active
56,47126,8590.2054903985,Active
57,80403,15123.126406149844,Active
58,22495,5067.677442118493,Active
59,92811,65775.42836800023,Active
60,182982,32637.262489488807,Active
61,100512,20254.242943485515,Active
62,76042,14693.469753623496,Active
63,31024,6154.706296370514,Active
64,31621,6069.753336718677,Active
