Kernel_ID,Usage_Count,Activity_Sum,Status
1,100377,50110.50208588631,Active
2,26172,5099.942677287544,Active
3,5366,776.0270755873269,Active
4,19454,4282.631681414054,Active
5,119450,43749.98903452261,Active
6,13650,2120.541663416309,Active
7,14208,3109.790110145094,Active
8,6720,990.3748503041243,Active
9,39017,6992.812780293975,Active
10,23138,4728.262344378612,Active
11,165905,29866.65145661614,Active
12,7352,1001.2412814200411,Active
13,79947,53140.33684213973,Active
14,62952,14303.086808757927,Active
15,5622,852.7049095484978,Active
16,24396,5539.407409756261,Active
17,103898,28067.872145779027,Active
18,127902,43126.900782287004,Active
19,19603,4311.495235353057,Active
20,122196,43641.684248681224,Active
21,121637,32492.84857653219,Active
22,47636,7748.19371966001,Active
23,80208,69062.63599072982,Active
24,113500,83470.36721369915,Active
25,11019,1648.9853068349494,Active
26,53806,11824.002004960133,Active
27,62386,13876.858343492191,Active
28,14381,3247.552909434266,Active
29,82603,29696.942608414072,Active
30,8199,1332.1849974810452,Active
31,50120,12371.966695643505,Active
32,108050,51058.93660040027,Active
33,8893,1541.7834075004832,Active
34,65874,13097.816507393745,Active
35,25640,3975.2489903958713,Active
36,6784,1122.9095365871574,Active
37,68387,13314.48483292951,Active
38,11563,1776.071282457507,Active
39,17457,3375.56100596025,Active
40,7209,1026.2959919490315,Active
41,112256,40525.038282336965,Active
42,87284,47121.960955932045,Active
43,24638,5772.268336226284,Active
44,31143,5605.3355802462565,Active
45,14201,2447.99107269256,Active
46,8419,1108.0640134107578,Active
47,6270,937.0288386056554,Active
48,16070,2518.0304432647445,Active
49,26009,5529.727898346686,Active
50,88220,68025.70148878399,Active
51,27107,6298.663104654149,Active
52,18632,2916.280286240481,Active
53,5106,749.7673280804884,Active
54,16990,3965.1974354458134,Active
55,123795,38581.03864545346,Active
56,71584,53200.81559217304,Active
57,53538,9959.29596378846,Active
58,98932,49540.37996272625,Active
59,9737,1695.6943009348408,Active
60,19127,4377.916222858081,Active
61,36931,7971.185149265545,Active
62,40960,8606.382009623774,Active
63,87473,68805.35982392581,Active
64,74711,25303.57760825663,Active
65,5493,790.9832292804869,Active
66,88233,24720.19242947969,Active
67,57380,11689.626303973053,Active
68,115252,30939.04606084723,Active
69,15613,3710.9846609268097,Active
70,5167,715.48680389808,Active
71,90700,22009.81992843317,Active
72,56813,9096.494109976114,Active
73,52468,10283.32505635644,Active
74,90887,36177.70592005817,Active
75,18734,3009.4043517445243,Active
76,16949,3448.397587961653,Active
77,14957,2314.855543020646,Active
78,17689,4046.893196893727,Active
79,22114,4993.294655239911,Active
80,11612,2112.937047013653,Active
81,80687,19388.042145436753,Active
82,100311,64251.7513236261,Active
83,20565,4422.274431673254,Active
84,145455,87944.47441733442,Active
85,19622,3062.3247896714765,Active
86,32924,5346.320982525438,Active
87,5872,896.0121859130002,Active
88,50459,8375.455514496378,Active
89,109118,30421.36023007907,Active
90,20763,4113.754613939448,Active
91,8698,1298.3668939832876,Active
92,14621,2502.7737911088348,Active
93,45485,9346.690211098774,Active
94,16958,3228.1043489416543,Active
95,74612,69330.17207682521,Active
96,101562,34582.64284942028,Active
97,76143,69314.9933489774,Active
98,39730,6298.850494007759,Active
99,7894,1154.0682404368013,Active
100,71730,21795.132657012626,Active
101,13461,2061.1341261444163,Active
102,48066,9490.114662192336,Active
103,82823,18111.67504065865,Active
104,64138,15726.14383128145,Active
105,7449,1226.3811508200067,Active
106,20297,4727.194972065642,Active
107,5599,785.3289987116442,Active
108,20255,4948.979337686181,Active
109,35184,5950.05599858556,Active
110,24555,3919.3107947344224,Active
111,10854,1671.6092109071953,Active
112,16699,2776.066683561329,Active
113,70802,17377.639247700277,Active
114,83839,23264.252538700493,Active
115,8373,1199.5869277394481,Active
116,7810,1295.9331765822808,Active
117,6597,946.869535651514,Active
118,115114,28823.18455149306,Active
119,145349,41961.33327400258,Active
120,44972,8540.112878177193,Active
121,107386,37233.09680441426,Active
122,39850,6567.565590261878,Active
123,5409,787.8613659756513,Active
124,11913,2266.7358983286395,Active
125,60720,12333.638567926748,Active
126,15850,3198.956428888035,Active
127,7249,1032.556709541532,Active
128,23323,3743.764663751002,Active
