Kernel_ID,Usage_Count,Activity_Sum,Status
1,194498,62614.31350714014,Active
2,68876,12839.898024580612,Active
3,50325,10222.140669236236,Active
4,68617,14108.145982315658,Active
5,440364,120779.45240766075,Active
6,38771,8130.037894267528,Active
7,37196,8113.266799932492,Active
8,56669,11669.16578544014,Active
9,217292,41176.34145490693,Active
10,111593,21402.502498454283,Active
11,105333,85426.98022850335,Active
12,412528,220554.776084913,Active
13,178961,86266.97014780948,Active
14,170253,32868.4940581278,Active
15,71123,14422.60954560402,Active
16,366748,66836.65225043624,Active
17,407768,125880.23995948043,Active
18,157974,116098.01070837297,Active
19,60468,11347.101909364274,Active
20,235347,170251.971071119,Active
21,344040,77134.241565446,Active
22,41814,8444.01473743351,Active
23,275826,170128.79695810197,Active
24,266996,87621.60974985885,Active
25,185866,62395.71884962513,Active
26,184199,48655.668455511666,Active
27,329612,65977.60279958323,Active
28,132545,26007.449724433438,Active
29,201733,114504.58185987575,Active
30,71961,13312.721959111364,Active
31,304717,79907.59552430449,Active
32,272207,90823.75761667574,Active
